sentence,model,api_cot_few,api_cot_zero,api_direct_few,api_direct_zero,manual_cot_few,manual_cot_zero,manual_direct_few,manual_direct_zero
A dark ring appeared around the stain after it dried.,claude,True,True,True,True,True,True,True,True
A dark ring appeared around the stain after it dried.,deepseek,True,True,True,True,True,True,True,True
A dark ring appeared around the stain after it dried.,gpt,True,True,True,True,True,True,True,True
A ring of stones surrounded the fire pit.,claude,True,True,True,True,True,True,True,True
A ring of stones surrounded the fire pit.,deepseek,True,True,True,True,True,True,True,True
A ring of stones surrounded the fire pit.,gpt,True,True,True,True,True,True,True,True
A sudden gust of wind altered the pitch just before it reached the catcher.,claude,True,True,True,True,True,True,True,True
A sudden gust of wind altered the pitch just before it reached the catcher.,deepseek,True,True,True,True,True,True,True,True
A sudden gust of wind altered the pitch just before it reached the catcher.,gpt,True,True,True,True,True,True,True,True
A sudden ring echoed through the quiet hallway.,claude,True,True,True,True,True,True,True,True
A sudden ring echoed through the quiet hallway.,deepseek,True,True,True,True,True,True,True,True
A sudden ring echoed through the quiet hallway.,gpt,True,True,True,True,True,True,True,True
"After feedback from mentors, the team revised the pitch before presenting again.",claude,True,True,True,True,True,True,True,True
"After feedback from mentors, the team revised the pitch before presenting again.",deepseek,True,True,True,True,True,True,True,True
"After feedback from mentors, the team revised the pitch before presenting again.",gpt,True,True,True,True,True,True,True,True
"After hours of debate, the vote produced a tie.",claude,True,True,True,True,True,True,True,True
"After hours of debate, the vote produced a tie.",deepseek,True,True,True,True,True,True,True,True
"After hours of debate, the vote produced a tie.",gpt,True,True,True,True,True,True,True,True
Both candidates finished the election in a tie.,claude,True,True,True,True,True,True,True,True
Both candidates finished the election in a tie.,deepseek,True,True,True,True,True,True,True,True
Both candidates finished the election in a tie.,gpt,True,True,True,True,True,True,True,True
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",claude,True,True,True,True,True,True,True,True
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",deepseek,True,True,True,True,True,True,True,True
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",gpt,True,True,True,True,True,True,True,True
Each employee has a file stored in the archive room.,claude,True,True,True,True,True,True,True,True
Each employee has a file stored in the archive room.,deepseek,True,True,True,True,True,True,True,True
Each employee has a file stored in the archive room.,gpt,True,True,True,True,True,True,True,True
"Every Friday, I deposit my paycheck in the bank.",claude,True,True,True,True,True,True,True,True
"Every Friday, I deposit my paycheck in the bank.",deepseek,True,True,True,True,True,True,True,True
"Every Friday, I deposit my paycheck in the bank.",gpt,True,True,True,True,True,True,True,True
Everyone turned at the ring that signaled the end of class.,claude,True,True,True,True,True,True,True,True
Everyone turned at the ring that signaled the end of class.,deepseek,True,True,True,True,True,True,True,True
Everyone turned at the ring that signaled the end of class.,gpt,True,True,True,True,True,True,True,True
Extreme flooding has caused the bank to erode over time.,claude,True,True,True,True,True,True,True,True
