sentence,model,query_mode,prompt_type,shot_type,context_type,correct
"They sat on the bank after withdrawing cash, watching the water flow by.",gpt,api,direct,zero,physical_environment,True
"They sat on the bank after withdrawing cash, watching the water flow by.",gpt,api,cot,zero,physical_environment,True
"They sat on the bank after withdrawing cash, watching the water flow by.",gpt,api,direct,few,physical_environment,False
"They sat on the bank after withdrawing cash, watching the water flow by.",gpt,api,cot,few,physical_environment,True
"The bank was quiet that morning, aside from the sound of ducks nearby.",gpt,api,direct,zero,physical_environment,True
"The bank was quiet that morning, aside from the sound of ducks nearby.",gpt,api,cot,zero,physical_environment,True
"The bank was quiet that morning, aside from the sound of ducks nearby.",gpt,api,direct,few,physical_environment,True
"The bank was quiet that morning, aside from the sound of ducks nearby.",gpt,api,cot,few,physical_environment,True
It was a curveball pitch that nobody in the room was prepared to handle.,gpt,api,direct,zero,physical_motion,True
It was a curveball pitch that nobody in the room was prepared to handle.,gpt,api,cot,zero,physical_motion,True
It was a curveball pitch that nobody in the room was prepared to handle.,gpt,api,direct,few,physical_motion,True
It was a curveball pitch that nobody in the room was prepared to handle.,gpt,api,cot,few,physical_motion,True
She realized halfway through the pitch that her delivery was far too fast.,gpt,api,direct,zero,business_communication,True
She realized halfway through the pitch that her delivery was far too fast.,gpt,api,cot,zero,business_communication,True
She realized halfway through the pitch that her delivery was far too fast.,gpt,api,direct,few,business_communication,True
She realized halfway through the pitch that her delivery was far too fast.,gpt,api,cot,few,business_communication,True
"He adjusted his pitch slightly, hoping the crowd would respond better.",gpt,api,direct,zero,business_communication,True
"He adjusted his pitch slightly, hoping the crowd would respond better.",gpt,api,direct,few,business_communication,True
"He adjusted his pitch slightly, hoping the crowd would respond better.",gpt,api,cot,few,business_communication,True
A small ring was the only thing found near the old bell.,gpt,api,direct,zero,personal_adornment,True
A small ring was the only thing found near the old bell.,gpt,api,cot,zero,personal_adornment,True
A small ring was the only thing found near the old bell.,gpt,api,direct,few,personal_adornment,True
A small ring was the only thing found near the old bell.,gpt,api,cot,few,personal_adornment,True
She noticed the ring fade as soon as the bell stopped echoing.,gpt,api,direct,zero,auditory_event,True
She noticed the ring fade as soon as the bell stopped echoing.,gpt,api,cot,zero,auditory_event,True
She noticed the ring fade as soon as the bell stopped echoing.,gpt,api,direct,few,auditory_event,True
She noticed the ring fade as soon as the bell stopped echoing.,gpt,api,cot,few,auditory_event,True
She noticed a faint ring left behind on the table after the guests departed.,gpt,api,direct,zero,spatial_structure,True
She noticed a faint ring left behind on the table after the guests departed.,gpt,api,cot,zero,spatial_structure,True
She noticed a faint ring left behind on the table after the guests departed.,gpt,api,direct,few,spatial_structure,True
She noticed a faint ring left behind on the table after the guests departed.,gpt,api,cot,few,spatial_structure,True
No one expected the tie to be the most talked-about part of the evening.,gpt,api,direct,zero,social_formal,True
No one expected the tie to be the most talked-about part of the evening.,gpt,api,cot,zero,social_formal,True
