sentence,model,query_mode,prompt_style,shot,correct,condition
"They sat on the bank after withdrawing cash, watching the water flow by.",gpt,api,direct,zero,True,api_direct_zero
"They sat on the bank after withdrawing cash, watching the water flow by.",gpt,api,cot,zero,True,api_cot_zero
"They sat on the bank after withdrawing cash, watching the water flow by.",gpt,api,direct,few,False,api_direct_few
"They sat on the bank after withdrawing cash, watching the water flow by.",gpt,api,cot,few,True,api_cot_few
"The bank was quiet that morning, aside from the sound of ducks nearby.",gpt,api,direct,zero,True,api_direct_zero
"The bank was quiet that morning, aside from the sound of ducks nearby.",gpt,api,cot,zero,True,api_cot_zero
"The bank was quiet that morning, aside from the sound of ducks nearby.",gpt,api,direct,few,True,api_direct_few
"The bank was quiet that morning, aside from the sound of ducks nearby.",gpt,api,cot,few,True,api_cot_few
It was a curveball pitch that nobody in the room was prepared to handle.,gpt,api,direct,zero,True,api_direct_zero
It was a curveball pitch that nobody in the room was prepared to handle.,gpt,api,cot,zero,True,api_cot_zero
It was a curveball pitch that nobody in the room was prepared to handle.,gpt,api,direct,few,True,api_direct_few
It was a curveball pitch that nobody in the room was prepared to handle.,gpt,api,cot,few,True,api_cot_few
She realized halfway through the pitch that her delivery was far too fast.,gpt,api,direct,zero,True,api_direct_zero
She realized halfway through the pitch that her delivery was far too fast.,gpt,api,cot,zero,True,api_cot_zero
She realized halfway through the pitch that her delivery was far too fast.,gpt,api,direct,few,True,api_direct_few
She realized halfway through the pitch that her delivery was far too fast.,gpt,api,cot,few,True,api_cot_few
"He adjusted his pitch slightly, hoping the crowd would respond better.",gpt,api,direct,zero,True,api_direct_zero
"He adjusted his pitch slightly, hoping the crowd would respond better.",gpt,api,direct,few,True,api_direct_few
"He adjusted his pitch slightly, hoping the crowd would respond better.",gpt,api,cot,few,True,api_cot_few
A small ring was the only thing found near the old bell.,gpt,api,direct,zero,True,api_direct_zero
A small ring was the only thing found near the old bell.,gpt,api,cot,zero,True,api_cot_zero
A small ring was the only thing found near the old bell.,gpt,api,direct,few,True,api_direct_few
