sentence,model,query_mode,prompt_style,shot,correct,condition,,,
The fisherman sat quietly on the bank watching the water.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The fisherman sat quietly on the bank watching the water.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The fisherman sat quietly on the bank watching the water.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The fisherman sat quietly on the bank watching the water.,deepseek,api,cot,few,TRUE,api_cot_few,,,
Extreme flooding has caused the bank to erode over time.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
Extreme flooding has caused the bank to erode over time.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
Extreme flooding has caused the bank to erode over time.,deepseek,api,direct,few,TRUE,api_direct_few,,,
Extreme flooding has caused the bank to erode over time.,deepseek,api,cot,few,TRUE,api_cot_few,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,direct,zero,TRUE,api_direct_zero,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,cot,zero,TRUE,api_cot_zero,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,direct,few,TRUE,api_direct_few,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,cot,few,TRUE,api_cot_few,,,
I went to the bank to apply for a loan.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
I went to the bank to apply for a loan.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
I went to the bank to apply for a loan.,deepseek,api,direct,few,TRUE,api_direct_few,,,
I went to the bank to apply for a loan.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The bank teller handed me my change.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The bank teller handed me my change.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The bank teller handed me my change.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The bank teller handed me my change.,deepseek,api,cot,few,TRUE,api_cot_few,,,
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,direct,zero,TRUE,api_direct_zero,,,
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,cot,zero,TRUE,api_cot_zero,,,
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,direct,few,TRUE,api_direct_few,,,
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,cot,few,TRUE,api_cot_few,,,
Federal law insures your money at the bank.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
Federal law insures your money at the bank.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
Federal law insures your money at the bank.,deepseek,api,direct,few,TRUE,api_direct_few,,,
Federal law insures your money at the bank.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The fisherman sat quietly on the bank watching the water.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The fisherman sat quietly on the bank watching the water.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The fisherman sat quietly on the bank watching the water.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The fisherman sat quietly on the bank watching the water.,deepseek,api,cot,few,TRUE,api_cot_few,,,
Extreme flooding has caused the bank to erode over time.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
Extreme flooding has caused the bank to erode over time.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
Extreme flooding has caused the bank to erode over time.,deepseek,api,direct,few,TRUE,api_direct_few,,,
Extreme flooding has caused the bank to erode over time.,deepseek,api,cot,few,TRUE,api_cot_few,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,direct,zero,TRUE,api_direct_zero,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,cot,zero,TRUE,api_cot_zero,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,direct,few,TRUE,api_direct_few,,,
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,cot,few,TRUE,api_cot_few,,,
I went to the bank to apply for a loan.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
I went to the bank to apply for a loan.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
I went to the bank to apply for a loan.,deepseek,api,direct,few,TRUE,api_direct_few,,,
I went to the bank to apply for a loan.,deepseek,api,cot,few,TRUE,api_cot_few,,,
The bank teller handed me my change.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
The bank teller handed me my change.,deepseek,api,cot,zero,TRUE,api_cot_zero,,,
The bank teller handed me my change.,deepseek,api,direct,few,TRUE,api_direct_few,,,
The bank teller handed me my change.,deepseek,api,cot,few,TRUE,api_cot_few,,,
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,direct,zero,TRUE,api_direct_zero,,,
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,cot,zero,TRUE,api_cot_zero,,,
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,direct,few,TRUE,api_direct_few,,,
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,cot,few,TRUE,api_cot_few,,,
Federal law insures your money at the bank.,deepseek,api,direct,zero,TRUE,api_direct_zero,,,
